Part_Desc_;Rework;Work_Order_Qty;Case ID;label;Activity;Resource;Report_Type;Resource.1;Qty_Completed;Qty_for_MRB;activity_duration;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases;en_event;nr_cases;nr_past_events;nr_ongoing_cases;cr_cases_intensity;complete_cases_intensity;hour_day;day_week;day_month;month_year
Spur Gear;missing;12;Case273;regular;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;3;0;903.0;2012-01-19 07:07:00;427;1;3;7;899.0;1012.0;3;36;15;37;2.0;48;0.01557285873192436;0.0009881422924901185;11.0;4.0;5.0;1.0
Ballnut;missing;64;Case249;deviant;Laser Marking - Machine 7;ID4872;D;Machine 7- Laser Marking;1;0;1.0;2012-01-19 07:40:00;460;1;3;7;318.0;9635.0;16;36;19;37;14.0;41;0.11320754716981132;0.0013492475350285417;12.0;1.0;9.0;1.0
Spur Gear;missing;12;Case273;regular;Turning & Milling Q.C.;ID4618;D;Quality Check 1;12;0;71.0;2012-01-19 08:04:00;484;1;3;8;57.0;1069.0;4;36;15;37;3.0;48;0.24561403508771928;0.0009354536950420954;11.0;4.0;5.0;1.0
Punch Holder;missing;350;Case267;deviant;Wire Cut - Machine 13;ID3767;D;Wire Cut - Machine 13;45;0;11.0;2012-01-19 08:11:00;491;1;3;8;1151.0;19573.0;29;36;78;37;28.0;48;0.05386620330147698;0.0014816328615950545;11.0;2.0;28.0;2.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;8;0;65.0;2012-01-19 08:27:00;507;1;3;8;101.0;1616.0;7;36;66;37;5.0;19;0.15841584158415842;0.0012376237623762376;7.0;2.0;31.0;1.0
Ballnut;missing;64;Case249;deviant;Laser Marking - Machine 7;ID4872;D;Machine 7- Laser Marking;62;0;51.0;2012-01-19 08:31:00;511;1;3;8;51.0;9686.0;17;36;19;37;14.0;41;0.7058823529411765;0.0013421432996076812;12.0;1.0;9.0;1.0
Cutting Wheel;missing;21;Case206;deviant;Round Grinding - Manual;ID4872;S;Machine 27 - Grinding;0;0;94.0;2012-01-19 08:32:00;512;1;3;8;14267.0;15445.0;4;36;11;37;3.0;1;0.004135417396789794;0.0016186468112657818;12.0;3.0;4.0;1.0
Spur Gear;missing;100;Case11;deviant;Turning & Milling - Machine 9;ID4641;S;Machine 9 - Turning & Milling;1;0;81.0;2012-01-19 09:00:00;540;1;3;9;1048.0;4880.0;13;36;20;37;12.0;48;0.02862595419847328;0.001639344262295082;16.0;1.0;9.0;1.0
Cable Head;missing;20;Case231;deviant;Round Grinding - Q.C.;ID4163;D;Quality Check 1;2;0;30.0;2012-01-19 09:30:00;570;1;3;9;1042.0;9723.0;8;35;8;36;7.0;5;0.03550863723608445;0.0013370358942713155;16.0;2.0;3.0;1.0
Ballnut;missing;50;Case258;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;162.0;2012-01-19 09:35:00;575;1;3;9;186.0;3455.0;8;35;13;36;7.0;48;0.14516129032258066;0.0017366136034732273;1.0;4.0;5.0;1.0
Cable Head;missing;250;Case178;regular;other;ID4355;D;Machine 2 - Round Grinding;20;0;241.0;2012-01-19 10:52:00;652;1;3;10;2569.0;24842.0;12;35;34;36;11.0;5;0.028026469443363178;0.001569921906448756;1.0;2.0;24.0;1.0
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;1;0;180.0;2012-01-19 11:00:00;660;1;3;11;1029.0;1029.0;2;35;15;36;1.0;48;0.013605442176870748;0.001943634596695821;11.0;4.0;5.0;1.0
Ballnut;missing;64;Case249;deviant;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;250.0;2012-01-19 11:10:00;670;1;3;11;159.0;9845.0;18;35;19;36;14.0;41;0.23270440251572327;0.0014220416455053328;12.0;1.0;9.0;1.0
O-Ring;missing;9;Case265;regular;Final Inspection Q.C.;ID4618;D;Quality Check 1;8;0;75.0;2012-01-19 12:01:00;721;1;3;12;661.0;21362.0;16;34;16;35;14.0;48;0.09984871406959153;0.001544799176107106;1.0;1.0;9.0;1.0
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;65.0;2012-01-19 12:09:00;729;1;3;12;69.0;1098.0;3;34;15;35;2.0;48;0.2028985507246377;0.00273224043715847;11.0;4.0;5.0;1.0
Plug;missing;13;Case25;deviant;Turning & Milling - Machine 5;ID4429;S;Machine 5 - Turning & Milling;4;0;233.0;2012-01-19 12:26:00;746;1;3;12;0.0;0.0;1;35;23;36;0.0;2;0;0;23.0;2.0;10.0;1.0
Ballnut;missing;315;Case260;deviant;Turning & Milling - Machine 6;ID4529;S;Machine 6 - Turning & Milling;1;0;487.0;2012-01-19 15:14:00;914;1;3;15;14924.0;14924.0;2;35;27;36;1.0;15;0.004020369874028411;0.0018091664433127848;9.0;7.0;15.0;1.0
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;11;0;195.0;2012-01-19 15:24:00;924;1;3;15;195.0;1293.0;4;35;15;36;2.0;48;0.08205128205128205;0.002320185614849188;11.0;4.0;5.0;1.0
Wheel Shaft;Y;20;Case201;deviant;Milling - Machine 16;ID4326;S;Machine 16 - Milling;0;0;506.0;2012-01-19 15:31:00;931;1;3;15;871.0;22456.0;19;35;23;36;18.0;5;0.07807118254879448;0.0016031350195938724;23.0;2.0;10.0;1.0
Compound Dies;missing;18;Case263;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;279.0;2012-01-19 15:36:00;936;1;3;15;1431.0;24756.0;19;35;22;36;18.0;41;0.05101327742837177;0.0016157699143641946;13.0;2.0;10.0;1.0
Plug;missing;13;Case25;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;9;0;194.0;2012-01-19 15:41:00;941;1;3;15;195.0;195.0;2;35;23;36;0.0;2;0.020512820512820513;0;23.0;2.0;10.0;1.0
Cutting Wheel;missing;21;Case206;deviant;Round Grinding - Manual;ID4872;D;Machine 27 - Grinding;10;0;436.0;2012-01-19 15:48:00;948;1;3;15;436.0;15881.0;5;35;11;36;4.0;1;0.13761467889908258;0.0017001448271519426;12.0;3.0;4.0;1.0
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;3;0;41.0;2012-01-19 15:56:00;956;1;3;15;42.0;14966.0;3;35;27;36;2.0;15;1.4285714285714286;0.0018040892690097555;9.0;7.0;15.0;1.0
Spur Gear;missing;100;Case11;deviant;Turning & Milling - Machine 10;ID4641;D;Machine 10 - Grinding;14;0;419.0;2012-01-19 16:00:00;960;1;3;16;420.0;5300.0;14;35;20;36;13.0;48;0.0761904761904762;0.0018867924528301887;16.0;1.0;9.0;1.0
Cable Head;missing;200;Case187;deviant;Final Inspection Q.C.;ID4493;D;Quality Check 1;0;0;351.0;2012-01-19 16:02:00;962;1;3;16;3862.0;24872.0;17;35;28;36;16.0;48;0.018902123252200934;0.0016082341588935349;1.0;1.0;16.0;1.0
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;B;Machine 9 - Turning & Milling;0;0;570.0;2012-01-19 16:37:00;997;1;3;16;0.0;0.0;1;36;15;37;0.0;1;0;0;11.0;4.0;5.0;1.0
Gauge;missing;40;Case224;regular;Turning & Milling Q.C.;ID4163;S;Quality Check 1;0;0;30.0;2012-01-19 16:50:00;1010;1;3;16;4760.0;4810.0;3;35;3;36;2.0;19;0.006932773109243697;0.0016632016632016633;16.0;1.0;2.0;1.0
Punch Holder;missing;350;Case267;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;540.0;2012-01-19 17:00:00;1020;1;3;17;529.0;20102.0;30;35;78;36;29.0;48;0.12098298676748583;0.0015918814048353398;11.0;2.0;28.0;2.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4167;S;Machine 4 - Turning & Milling;2;0;571.0;2012-01-19 17:29:00;1049;1;3;17;542.0;2158.0;8;35;66;36;7.0;19;0.04059040590405904;0.0023169601482854493;7.0;2.0;31.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;16;0;135.0;2012-01-19 17:57:00;1077;1;3;17;28.0;2186.0;9;35;66;36;8.0;19;0.7857142857142857;0.0022872827081427266;7.0;2.0;31.0;1.0
Cable Head;missing;5;Case245;deviant;Turning & Milling Q.C.;ID4163;S;Quality Check 1;0;0;74.0;2012-01-19 18:04:00;1084;1;3;18;87.0;87.0;2;35;15;36;0.0;1;0.022988505747126436;0.011494252873563218;11.0;4.0;5.0;1.0
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4132;S;Machine 9 - Turning & Milling;1;0;117.0;2012-01-19 18:09:00;1089;1;3;18;700.0;3304.0;10;35;22;36;8.0;0;0.04;0.00211864406779661;13.0;2.0;10.0;1.0
Spur Gear;missing;100;Case11;deviant;Turning & Milling - Machine 10;ID4132;D;Machine 10 - Grinding;9;0;193.0;2012-01-19 19:21:00;1161;1;3;19;201.0;5501.0;15;35;20;36;13.0;48;0.16417910447761194;0.0019996364297400473;16.0;1.0;9.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;52;0;1.0;2012-01-19 19:59:00;1199;1;3;19;122.0;2308.0;10;35;66;36;8.0;19;0.18032786885245902;0.002166377816291161;7.0;2.0;31.0;1.0
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4132;D;Machine 9 - Turning & Milling;8;0;118.0;2012-01-19 20:08:00;1208;1;3;20;119.0;3423.0;11;35;22;36;10.0;0;0.23529411764705882;0.002044989775051125;13.0;2.0;10.0;1.0
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;6;0;65.0;2012-01-19 21:15:00;1275;1;3;21;319.0;15285.0;4;35;27;36;2.0;15;0.19122257053291536;0.0018318613019299968;9.0;7.0;15.0;1.0
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4132;S;Machine 10 - Grinding;1;0;122.0;2012-01-19 21:25:00;1285;1;3;21;895.0;3265.0;9;35;19;36;7.0;19;0.027932960893854747;0.0018376722817764165;12.0;1.0;9.0;1.0
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-20 01:15:00;75;1;4;1;14400.0;20723.0;6;35;51;36;4.0;48;0.0044444444444444444;0.0015441779665106403;12.0;4.0;26.0;1.0
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4794;D;Machine 9 - Turning & Milling;40;0;541.0;2012-01-20 05:10:00;310;1;4;5;542.0;3965.0;12;35;22;36;11.0;0;0.05350553505535055;0.0017654476670870113;13.0;2.0;10.0;1.0
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4794;D;Machine 10 - Grinding;22;0;562.0;2012-01-20 06:48:00;408;1;4;6;563.0;3828.0;10;35;19;36;7.0;19;0.046181172291296625;0.001567398119122257;12.0;1.0;9.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;0;0;656.0;2012-01-20 06:54:00;414;1;4;6;0.0;2963.0;11;35;66;36;10.0;19;23;0.0016874789065136687;7.0;2.0;31.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;82;0;655.0;2012-01-20 06:54:00;414;1;4;6;655.0;2963.0;12;35;66;36;11.0;19;0.035114503816793895;0.0016874789065136687;7.0;2.0;31.0;1.0
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;S;Machine 9 - Turning & Milling;0;0;935.0;2012-01-20 06:57:00;417;1;4;6;773.0;860.0;3;35;15;36;2.0;1;0.009055627425614488;0.0011627906976744186;11.0;4.0;5.0;1.0
Ballnut;missing;50;Case258;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;50;0;34.0;2012-01-20 07:31:00;451;1;4;7;1316.0;4771.0;9;35;13;36;8.0;48;0.0243161094224924;0.0016767973171242926;1.0;4.0;5.0;1.0
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;94.0;2012-01-20 08:41:00;521;1;4;8;446.0;21169.0;7;35;51;36;6.0;48;0.14349775784753363;0.001511644385658274;12.0;4.0;26.0;1.0
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID3846;D;Machine 10 - Grinding;8;0;143.0;2012-01-20 09:21:00;561;1;4;9;153.0;3981.0;11;35;19;36;10.0;19;0.16993464052287582;0.0015071590052750565;12.0;1.0;9.0;1.0
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;S;Machine 9 - Turning & Milling;1;0;102.0;2012-01-20 11:04:00;664;1;4;11;247.0;1107.0;4;35;15;36;3.0;1;0.032388663967611336;0.0009033423667570009;11.0;4.0;5.0;1.0
Wheel Shaft;Y;20;Case201;deviant;Milling - Machine 16;ID4326;D;Machine 16 - Milling;0;0;247.0;2012-01-20 11:32:00;692;1;4;11;1201.0;23657.0;20;35;23;36;18.0;5;0.05745212323064113;0.00156401910639557;23.0;2.0;10.0;1.0
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;4;0;83.0;2012-01-20 12:28:00;748;1;4;12;84.0;1191.0;5;35;15;36;3.0;1;0.10714285714285714;0.0008396305625524769;11.0;4.0;5.0;1.0
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;270.0;2012-01-20 12:39:00;759;1;4;12;1275.0;2568.0;5;35;15;36;4.0;48;0.01568627450980392;0.001557632398753894;11.0;4.0;5.0;1.0
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;43;0;83.0;2012-01-20 12:40:00;760;1;4;12;239.0;21408.0;8;35;51;36;6.0;48;0.26778242677824265;0.0014947683109118087;12.0;4.0;26.0;1.0
Cutting Wheel;missing;21;Case206;deviant;Final Inspection Q.C.;ID4618;D;Quality Check 1;0;0;296.0;2012-01-20 12:50:00;770;1;4;12;1262.0;17143.0;6;35;11;36;5.0;1;0.04833597464342314;0.0016333197223356473;12.0;3.0;4.0;1.0
Cable Head;missing;250;Case178;regular;Grinding Rework - Machine 27;ID4872;D;Machine 27 - Grinding;0;0;223.0;2012-01-20 12:54:00;774;1;4;12;1562.0;26404.0;13;35;34;36;12.0;5;0.04737516005121639;0.0015527950310559005;1.0;2.0;24.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;20;0;330.0;2012-01-20 14:52:00;892;1;4;14;478.0;3441.0;13;35;66;36;12.0;19;0.04811715481171548;0.0014530659691950015;7.0;2.0;31.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4529;D;Machine 4 - Turning & Milling;30;0;481.0;2012-01-21 20:55:00;1255;1;5;20;1803.0;5244.0;14;35;66;36;12.0;19;0.012756516916250694;0.0009534706331045003;7.0;2.0;31.0;1.0
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;28;0;480.0;2012-01-21 21:03:00;1263;1;5;21;2868.0;18153.0;5;35;27;36;4.0;15;0.021269177126917713;0.0015424447749683248;9.0;7.0;15.0;1.0
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4445;S;Machine 2 - Round Grinding;0;0;29.0;2012-01-21 22:25:00;1345;1;5;22;2025.0;23433.0;9;35;51;36;6.0;48;0.03160493827160494;0.0013655955276746469;12.0;4.0;26.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4529;D;Machine 5 - Turning & Milling;50;0;661.0;2012-01-21 23:54:00;1434;1;5;23;179.0;5423.0;15;35;66;36;12.0;19;0.12849162011173185;0.0009219988936013276;7.0;2.0;31.0;1.0
Ballnut;missing;64;Case249;deviant;Packing;ID4491;D;Packing;62;0;60.0;2012-01-22 01:00:00;60;1;6;1;3710.0;13555.0;19;34;19;35;18.0;41;0.011051212938005392;0.0011803762449280708;12.0;1.0;9.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;0;0;75.0;2012-01-22 01:15:00;75;1;6;1;81.0;5504.0;16;33;66;35;12.0;19;0.2839506172839506;0.0010901162790697674;7.0;2.0;31.0;1.0
Wheel Shaft;Y;20;Case201;deviant;Round Grinding - Machine 2;ID0937;D;Machine 2 - Round Grinding;2;0;75.0;2012-01-22 01:15:00;75;1;6;1;0.0;25920.0;21;33;23;35;20.0;5;69;0.0014660493827160495;23.0;2.0;10.0;1.0
Wheel Shaft;Y;20;Case201;deviant;Round Grinding - Manual;ID0937;D;Machine 27 - Grinding;2;0;75.0;2012-01-22 01:15:00;75;1;6;1;0.0;25920.0;22;33;23;35;21.0;5;69;0.0014660493827160495;23.0;2.0;10.0;1.0
Wheel Shaft;Y;20;Case201;deviant;Round Grinding - Q.C.;ID4493;D;Quality Check 1;2;0;75.0;2012-01-22 01:15:00;75;1;6;1;2263.0;25920.0;23;33;23;34;21.0;5;0.03049049933716306;0.0014660493827160495;23.0;2.0;10.0;1.0
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-22 01:15:00;75;1;6;1;170.0;23603.0;10;33;51;34;9.0;48;0.3764705882352941;0.0014404948523492776;12.0;4.0;26.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4641;D;Machine 4 - Turning & Milling;28;0;376.0;2012-01-22 06:31:00;391;1;6;6;316.0;5820.0;17;33;66;34;12.0;19;0.07278481012658228;0.0012027491408934709;7.0;2.0;31.0;1.0
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4641;D;Machine 6 - Turning & Milling;39;0;423.0;2012-01-22 06:31:00;391;1;6;6;568.0;18721.0;6;33;27;34;5.0;15;0.1073943661971831;0.0016024785000801239;9.0;7.0;15.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4641;D;Machine 5 - Turning & Milling;80;0;390.0;2012-01-22 06:32:00;392;1;6;6;1.0;5821.0;18;33;66;34;12.0;19;23.0;0.0012025425184676172;7.0;2.0;31.0;1.0
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4641;D;Machine 10 - Grinding;12;0;287.0;2012-01-22 06:33:00;393;1;6;6;2712.0;6693.0;12;33;19;34;11.0;19;0.009587020648967551;0.0011952786493351262;12.0;1.0;9.0;1.0
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;17;0;232.0;2012-01-22 06:34:00;394;1;6;6;2964.0;6929.0;13;33;22;34;12.0;0;0.009784075573549258;0.0012988887285322558;13.0;2.0;10.0;1.0
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;0;0;4.0;2012-01-22 07:02:00;422;1;6;7;2543.0;5111.0;6;33;15;34;4.0;48;0.007864726700747149;0.0011739385638818234;11.0;4.0;5.0;1.0
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;3;0;13.0;2012-01-22 07:13:00;433;1;6;7;39.0;6968.0;14;33;22;34;12.0;0;0.7435897435897436;0.0012916188289322618;13.0;2.0;10.0;1.0
Clamp;missing;150;Case163;deviant;Turning - Machine 8;ID3846;B;Machine 15 - Turning;0;0;1.0;2012-01-22 07:15:00;435;1;6;7;16984.0;19095.0;5;33;6;34;4.0;41;0.0035916156382477626;0.0015710919088766694;8.0;2.0;3.0;1.0
Compound Dies;missing;18;Case263;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;18;0;31.0;2012-01-22 07:57:00;477;1;6;7;3861.0;28617.0;20;33;22;34;19.0;41;0.019166019166019167;0.0015026033476604815;13.0;2.0;10.0;1.0
Cutting Wheel;missing;21;Case206;deviant;Final Inspection Q.C.;ID4618;D;Quality Check 1;10;0;75.0;2012-01-22 08:10:00;490;1;6;8;2600.0;19743.0;7;33;11;34;5.0;1;0.02346153846153846;0.00151952590791673;12.0;3.0;4.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;0;0;100.0;2012-01-22 08:40:00;520;1;6;8;128.0;5949.0;19;33;66;34;12.0;19;0.1875;0.001176668347621449;7.0;2.0;31.0;1.0
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4132;D;Machine 10 - Grinding;2;0;31.0;2012-01-22 09:01:00;541;1;6;9;148.0;6841.0;13;33;19;34;12.0;19;0.18243243243243243;0.00116941967548604;12.0;1.0;9.0;1.0
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;15;0;55.0;2012-01-22 10:21:00;621;1;6;10;546.0;24149.0;11;33;51;34;10.0;48;0.11721611721611722;0.0014079257940287384;12.0;4.0;26.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;14;0;80.0;2012-01-22 10:28:00;628;1;6;10;108.0;6057.0;20;33;66;34;12.0;19;0.2222222222222222;0.0011556876341423147;7.0;2.0;31.0;1.0
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;12;0;85.0;2012-01-22 11:02:00;662;1;6;11;240.0;5351.0;7;33;15;34;6.0;48;0.0875;0.0011212857409829938;11.0;4.0;5.0;1.0
Ballnut;Y;315;Case260;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;313.0;2012-01-22 12:13:00;733;1;6;12;342.0;19063.0;7;33;27;34;5.0;15;0.1783625730994152;0.0015737292136599695;9.0;7.0;15.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;80;0;230.0;2012-01-22 12:50:00;770;1;6;12;142.0;6199.0;21;34;66;34;12.0;19;0.16901408450704225;0.001129214389417648;7.0;2.0;31.0;1.0
Ballnut;missing;24;Case229;regular;Turning Q.C.;ID4287;S;Quality Check 1;0;0;97.0;2012-01-22 12:50:00;770;1;6;12;0.0;0.0;1;34;11;35;0.0;41;0;0;12.0;3.0;4.0;1.0
Ballnut;missing;12;Case27;regular;Turning & Milling Q.C.;ID4618;D;Quality Check 1;12;0;1.0;2012-01-22 13:51:00;831;1;6;13;169.0;5520.0;8;34;15;35;6.0;48;0.1301775147928994;0.0010869565217391304;11.0;4.0;5.0;1.0
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;21;0;34.0;2012-01-22 13:57:00;837;1;6;13;216.0;24365.0;12;34;51;35;10.0;48;0.30092592592592593;0.001395444284834804;12.0;4.0;26.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;20;0;80.0;2012-01-22 14:40:00;880;1;6;14;110.0;6309.0;22;34;66;35;12.0;19;0.22727272727272727;0.0011095260738627358;7.0;2.0;31.0;1.0
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4385;S;Machine 2 - Round Grinding;0;0;266.0;2012-01-22 14:40:00;880;1;6;14;43.0;24408.0;13;34;51;35;10.0;48;1.5116279069767442;0.0013929859062602426;12.0;4.0;26.0;1.0
Punch Holder;missing;350;Case267;deviant;Wire Cut - Machine 13;other;D;Wire Cut - Machine 13;45;0;480.0;2012-01-22 15:00:00;900;1;6;15;4200.0;24302.0;31;34;78;35;30.0;48;0.015476190476190477;0.0013990618056127068;11.0;2.0;28.0;2.0
Spur Gear;missing;100;Case11;deviant;Laser Marking - Machine 7;ID4882;D;Machine 7- Laser Marking;20;0;32.0;2012-01-22 15:33:00;933;1;6;15;4092.0;9593.0;16;34;20;35;15.0;48;0.008797653958944282;0.0013551548003752736;16.0;1.0;9.0;1.0
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;14;0;282.0;2012-01-22 15:48:00;948;1;6;15;215.0;19278.0;8;34;27;35;5.0;15;0.28837209302325584;0.001556178026766262;9.0;7.0;15.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;14;0;251.0;2012-01-22 15:57:00;957;1;6;15;77.0;6386.0;23;34;66;35;12.0;19;0.3246753246753247;0.001096147823363608;7.0;2.0;31.0;1.0
Cable Head;missing;200;Case187;deviant;Final Inspection Q.C.;ID4493;D;Quality Check 1;0;0;347.0;2012-01-22 16:01:00;961;1;6;16;4319.0;29191.0;18;34;28;35;17.0;48;0.017365130817318823;0.0014730567640711177;1.0;1.0;16.0;1.0
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4385;D;Machine 2 - Round Grinding;6;0;112.0;2012-01-22 16:33:00;993;1;6;16;113.0;24521.0;14;34;51;35;10.0;48;0.5752212389380531;0.0013865666163696423;12.0;4.0;26.0;1.0
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;67;0;438.0;2012-01-22 16:46:00;1006;1;6;16;49.0;6435.0;24;34;66;35;12.0;19;0.5102040816326531;0.0010878010878010878;7.0;2.0;31.0;1.0
Ballnut;missing;12;Case27;regular;Lapping - Machine 1;ID4872;D;Machine 1 - Lapping;12;0;67.0;2012-01-22 17:26:00;1046;1;6;17;215.0;5735.0;9;34;15;35;6.0;48;0.10232558139534884;0.001046207497820401;11.0;4.0;5.0;1.0
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4167;D;Machine 6 - Turning & Milling;0;0;90.0;2012-01-22 17:30:00;1050;1;6;17;102.0;19380.0;9;34;27;35;5.0;15;0.6078431372549019;0.0015479876160990713;9.0;7.0;15.0;1.0
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;79;0;525.0;2012-01-22 17:47:00;1067;1;6;17;634.0;7602.0;15;34;22;35;14.0;0;0.04889589905362776;0.0011838989739542227;13.0;2.0;10.0;1.0
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID3846;D;Machine 10 - Grinding;27;0;524.0;2012-01-22 17:47:00;1067;1;6;17;526.0;7367.0;14;34;19;35;13.0;19;0.053231939163498096;0.0010859237138591013;12.0;1.0;9.0;1.0
Ballnut;missing;24;Case229;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;417.0;2012-01-22 18:00:00;1080;1;6;18;310.0;310.0;2;34;11;35;0.0;41;0.02903225806451613;0;12.0;3.0;4.0;1.0
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;0;0;38.0;2012-01-22 18:06:00;1086;1;6;18;93.0;24614.0;15;34;51;35;10.0;48;0.6989247311827957;0.0013813276996831071;12.0;4.0;26.0;1.0
Ballnut;missing;12;Case27;regular;Round Grinding - Manual;ID4872;S;Machine 27 - Grinding;0;0;60.0;2012-01-22 18:27:00;1107;1;6;18;61.0;5796.0;10;34;15;35;6.0;48;0.36065573770491804;0.0010351966873706005;11.0;4.0;5.0;1.0
